PFT,Number,RECO,Air_temperature,Soil_temperature,VPD,SWC,Precipation,SOC_0,SOC_10,SOC_30,LAI,BS,PV,NPV,CI,RECO_p,Air_temperature_p,Soil_temperature_p,VPD_p,SWC_p,Precipation_p,SOC_0_p,SOC_10_p,SOC_30_p,LAI_p,BS_p,PV_p,NPV_p,CI_p
CRO,803,0.0,0.09511806359690524,0.05909221531842071,-0.03803560712917736,0.05466087367178782,-0.00495959621425743,0.0011324832387915257,0.0011324832387915257,0.013932581236104882,0.20304743118771262,-0.002346566842312719,0.11479962100638422,-0.06175915654497422,-0.18853851396705174,1.0,0.007061455082483962,0.09446132599000835,0.28228986594382277,0.12193165448694115,0.8884738475513847,0.9744549329900236,0.9744549329900236,0.69360400009576,6.851111079896246e-09,0.9470989483634572,0.0011431173599589087,0.0804751595371448,7.761348699039195e-08
DBF,1254,0.0,0.20555585761325923,-0.06320490549731575,-0.006156401490344004,0.02054684202058563,-0.011676690592449107,-0.03761530175559177,0.006520819945054877,0.1860709896470783,0.09013552373176799,-0.009181020964032591,-0.014209787231035338,-0.06928780611778132,-0.005936321640463923,1.0,2.1094334226155613e-13,0.7238854647078317,0.8277250472460246,0.4674326833582845,0.6796578956874453,0.1833079340509818,0.8176299454584386,3.238106380988784e-11,0.0014160602777266184,0.7454309348758489,0.6153034021656547,0.014239270937461372,0.8337266045036695
EBF,492,0.0,0.0779304403153585,0.05258912941237617,0.08985212559466002,-0.09459572643719938,-0.0069112128049170435,-0.08558949176064758,0.054376076870340795,0.053909902885783484,0.08209893580484706,-0.05407472242308853,0.07729499987009548,-0.08476786715826057,-0.5507333833817699,1.0,0.08483798982025254,0.24477590083731451,0.09354866822190702,0.23722014804199273,0.8784692426632865,0.0580683750989034,0.22908767984188833,0.2331098618366752,0.06912169924634129,0.2321604192316407,0.08709260750844161,0.060528741210474066,3.2856947095798096e-40
ENF,1911,0.0,0.26838793168314723,0.0037734870722079417,-0.027480801083205372,0.013165417858098463,-0.012428032737592291,-0.01809489535115717,0.01409496560758139,-0.020663329687839148,-0.010044691013374601,-0.014591732427673044,-0.008570735387185398,-0.06221677547220829,0.018440609186959188,1.0,8.043275045322901e-33,0.8690955837272065,0.23008721172152852,0.5652752642740477,0.5873555196324742,0.429197730812903,0.5380340164616833,0.3666307131960497,0.6609533567821559,0.523911923878098,0.7081564365212774,0.006543291860925754,0.42055375051814703
GRA,1721,0.0,0.04281120296464505,0.015401051333988752,-0.003515801036683485,0.04235312996198562,0.23363645777074563,0.02739829777056206,0.03840300886968222,-0.018372506609867015,0.3648448179756093,-0.0236835662621987,0.12756915684060227,-0.12453000609836837,-0.08020680551280757,1.0,0.07589342552981276,0.5232787346490703,0.8841543909188088,0.07926022451260933,9.89709204730308e-23,0.25623169797413053,0.11135933649350889,0.44650809841959294,3.113412577335942e-55,0.3262726095305525,1.1336798496520051e-07,2.2606772378544906e-07,0.0008735115994033082
MF.,473,0.0,0.17653206338853317,-0.0059337921534756265,0.07519609110614106,0.07257719119184816,-0.046755157492919655,-0.03958164069104717,-0.037269198915251496,0.00792259883131094,0.10297227928926571,0.04291222752084781,0.06422536050781315,-0.0007694351709488685,-0.06340868682792221,1.0,0.00011948107642070596,0.8976945250345845,0.10275191901685933,0.11533113593414143,0.3107531031909185,0.3903941943308564,0.41869472043825406,0.8635539371576381,0.025432798159300052,0.3517299897863737,0.16404767688844474,0.9867123859545306,0.16948657410739112
SAV,909,0.0,0.0806622326737554,0.004045171135340775,-0.016765924536024168,0.01975308949204107,0.16254501256918558,-0.05120479092186821,0.06306095601760403,-0.09061097046111528,0.13565050916330731,0.04609850258862937,0.04957734824787011,-0.1370083145652108,-0.027793786809903555,1.0,0.015104255816671101,0.9031693619222823,0.61387650016968,0.5522053768707091,8.717938650655121e-07,0.12311199643643127,0.057499896749838575,0.47335196094378007,4.1559300935331626e-05,0.1653973294996547,0.13571179712181358,3.47229639812966e-05,0.40286290576511075
SHR,245,0.0,0.01085741279828231,-0.05622642908280349,-0.06519119554030461,-0.030609131280441033,0.2654177610205857,-0.034539113603286486,0.07901821201573946,0.08030629878351286,0.10312298767180524,0.08702869914960065,0.06350033709336855,-0.3469641969889067,-0.07196537291131014,1.0,0.8660072233599365,0.3818640629469059,0.3095024152632647,0.6342267060811158,2.6662335767825077e-05,0.5913311836711215,0.2187384198651005,0.21129853401698648,0.10955862194510463,0.17541014388184328,0.32424918418137283,2.7880688881628238e-08,0.26279255238779603
