Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
-4.692302,-5.7992167,-1.8950253,0.10022611,-4.3612514,0.35052544,1.748323,0.58808726,-7.1476216,1.5454211,-1.4202214,2.3444252,-0.91787136
-4.0576677,-4.760703,-1.216702,-0.76122886,-3.9734523,0.65991414,1.6635989,0.637167,-7.097925,1.7717452,-8.135711,-7.3487787,-1.4727123
-3.5495176,-5.180621,-1.7533135,-1.133774,-3.7522285,0.81847703,1.7085751,0.58541256,-7.230282,2.2622128,-7.1231303,-6.656743,-1.0759765
-0.7420845,-2.7943575,1.6516645,-0.2725607,-3.2035306,0.6691093,2.8067076,0.91979665,-4.019737,3.3668432,-3.993001,-4.6559243,0.91222703
-0.5902405,-2.5690753,3.1912196,-1.844015,-1.9881699,-0.19431417,2.498066,1.2739705,15.442919,1.7699333,17.935583,10.628616,0.3873933
1.2428347,-2.0575306,2.5931795,-3.472941,-1.787957,-0.35413256,2.3247986,1.4916598,14.67724,1.1589705,17.15242,10.921059,0.095970824
1.6774055,-0.9444244,2.7552924,-1.9771746,-2.2280195,-0.22784969,2.7156532,1.5134091,16.432055,2.5142484,18.919762,12.515129,-0.5918021
-2.2694786,-4.516856,-3.6468894,-1.9373647,0.68241096,0.3298385,2.7442453,1.1083784,-6.3288183,2.8013098,12.992119,10.607087,-0.74860394
-3.38215,-5.6051807,-1.9746671,-0.32449824,-1.3998144,0.33830786,1.5424955,0.5325402,-6.160879,2.1700487,-3.7752125,3.2112322,-1.063943
-3.94544,-5.074515,-1.228581,-0.98299825,-3.8546011,0.49239987,1.7828166,0.7496132,-7.601495,2.1377435,-10.729089,-7.881966,-1.4676715
-3.2357218,-4.7701974,-0.93293744,-0.44951153,-1.0464723,0.5779992,1.9134765,0.49658337,-6.5259852,2.3645666,-6.229993,-6.782473,0.9508456
-1.837209,-3.7725902,1.8931056,-1.000203,0.62680846,0.40599328,2.441942,1.0763497,12.267592,2.0809026,-4.94699,-6.0159454,1.1350139
-0.037349034,-2.6818638,3.1273189,-3.1208587,0.7413168,-0.19995609,2.787105,1.3896577,14.994761,1.5302008,17.889189,11.877106,0.36383718
-2.7097104,-2.87644,-2.2202883,-3.0904946,-1.1469545,0.13932106,2.8137982,1.2890942,15.004468,2.2047136,26.045193,16.767967,-1.0275491
-1.8497769,-5.2603703,-3.019573,-1.0672837,0.68648976,0.25695205,2.0845015,1.0840693,-7.2698407,2.806244,16.361826,10.9165535,-0.7331536
-4.5016904,-6.9905157,-2.0494995,-0.45699424,-1.2589991,0.4061092,1.571542,0.6231156,-6.9441295,1.2710958,-4.3807487,7.034613,-0.686519
-3.8354347,-4.620644,-1.0482738,-0.43137312,-3.4709964,0.45262486,2.0930789,0.9057181,-7.134378,2.0741699,-10.445396,-7.420896,-1.5407786
-2.7786713,-5.0098424,-1.1745348,-0.10780361,-1.3001139,0.716288,1.6869199,0.81493676,-6.786824,2.574954,-10.102685,-7.5774603,-1.0056925
-1.5903786,-3.7053106,0.13150351,-0.51620364,1.3540422,0.44281542,2.4438143,0.79922825,-5.8693137,3.7612495,-4.8695426,-4.581106,1.1983671
-2.779461,-4.6080623,2.794615,-2.1321511,1.7179387,-0.32964507,2.5436347,1.1221242,13.451583,1.781176,16.814327,10.742531,0.32518616
0.37207085,-3.3539743,2.8596256,-2.8920436,1.7294153,-0.048726097,2.94236,1.5985695,15.747931,2.0875993,26.59833,13.877198,-0.100817285
-2.7868226,-2.724474,-2.424432,-3.2093396,1.4653759,0.013602249,2.9910514,1.3861544,15.004171,2.066204,25.120226,16.792156,-0.89546037
-2.1101365,-5.3446307,-2.3252397,-1.1581883,2.560001,0.25581467,2.8098905,1.0820105,-6.294206,2.926166,15.81651,10.957176,-0.69885373
-3.9445813,-5.6244516,-1.8282361,-0.45915258,-0.3262206,0.6998765,5.309872,0.62310135,-6.1818748,3.080525,-3.4147127,-1.4569696,-0.86165106
-3.6067045,-5.6686063,-1.5691062,1.5710189,-3.6378179,0.54173124,3.2635584,0.27043277,-7.1033287,1.3228748,-8.106013,-6.6774654,-1.3044039
-1.1453621,1.7693312,1.9545176,-0.5237267,-0.36600786,1.0862333,7.458087,0.98452526,-5.941295,3.0582023,-5.770375,-6.7005076,0.23342472
-1.0554426,1.25873,2.0589566,-0.84311306,1.0050056,0.44868052,5.4956856,1.2570949,14.340677,4.0774326,-1.8758265,-2.063836,0.5298766
0.76721084,0.15602696,4.497921,-1.8322812,0.96191996,0.35027084,5.10882,1.5100567,15.000194,2.85203,16.601273,11.805085,-0.12402554
2.730824,-0.8601079,4.8411894,2.629672,0.56951857,0.5550802,5.247706,1.7155572,18.554691,3.1221426,19.99476,11.139515,-0.45809543
-1.5043622,-2.619777,-2.1814492,1.381215,3.0570457,0.44167542,5.506321,1.5662087,-5.212049,3.985261,12.820801,4.599535,-0.67430663
-2.930264,-3.8767471,-2.0374262,0.14912823,-0.9529677,0.44777668,5.0585136,1.0524343,-5.6981363,1.4792044,-4.6010385,2.664473,-0.8201925
