Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
24.318989,18.575478,3.684912,-0.9693006,4.555815,20.689796,8.953012,6.329877,89.05285,2.3541324,23.394316,21.202349,37.799385
20.733723,18.476458,3.979327,-0.8491136,3.2965517,22.03506,9.459793,6.7795043,62.141933,-2.4147246,30.656672,17.975897,42.459892
-14.911655,-3.7586732,-3.1954477,-2.7309315,2.5886621,10.169423,8.2224245,3.6942966,85.29753,1.1510916,19.752691,6.0112114,32.495403
-11.848281,-15.030304,-2.1307163,-5.4021835,0.36015457,10.245184,9.672697,3.9977205,66.50436,1.2714127,6.685564,6.350668,33.17306
-16.124706,-14.934023,-1.8036993,0.051292196,2.682467,5.358631,2.838977,1.6413717,-22.023592,1.0399636,-1.8919308,2.7629347,18.380789
4.071624,3.0596504,0.5859448,4.549276,1.149777,14.787079,14.8375025,4.614991,110.45974,4.272583,12.256644,8.672868,43.79061
19.091974,23.29972,0.14118978,5.843243,4.4751062,22.133913,9.838959,6.279851,91.63738,6.1038074,33.48026,22.62921,44.600784
24.07186,26.297705,-0.6022751,8.571371,5.6744523,23.413733,9.447745,6.796908,90.86505,3.957666,35.82967,22.84137,45.290493
13.083529,19.598318,-0.4858257,3.1200056,1.2654516,22.577147,10.543844,6.478755,97.50151,-0.88095856,28.578112,3.9309106,42.453167
-2.266965,7.308401,4.3975234,7.478839,0.37262496,16.881485,15.497806,5.458986,91.83054,3.0070107,18.998407,9.290793,49.196304
-17.961359,-30.967482,-1.412133,-1.8712099,1.7168018,6.3420944,3.6379058,2.0278666,30.048075,-8.423323,4.542998,3.2482028,10.323407
6.861656,11.597865,3.289692,-0.531985,3.804068,16.881289,14.109721,7.803369,70.317505,3.5795748,11.070089,3.625292,47.068775
22.354734,24.754675,5.304641,-1.4128904,3.9772494,21.902117,9.411736,7.869271,100.63374,6.8523903,34.60705,23.203543,44.289314
19.112032,23.520275,-2.0407257,6.814093,1.69144,22.44498,9.645776,6.408478,100.53322,4.6449084,33.184258,23.193184,43.416985
2.2926564,18.906404,3.695081,1.0199492,1.4611976,20.516008,7.9318213,5.6295033,89.770546,5.5604815,33.20668,22.512201,38.555874
-17.814875,0.88937956,-1.0096452,-0.6852327,1.0275534,11.237362,6.963216,3.8741686,34.851433,1.2404118,11.595789,8.966003,27.471937
-0.70546895,5.861069,4.2198887,-2.0005908,1.1705494,14.3857565,15.381591,5.0955095,103.71151,4.8643017,16.634062,9.938541,47.627308
11.188948,17.40341,1.2854542,7.038989,1.408621,21.062523,9.843776,8.353915,102.05389,6.1729937,28.770473,8.928995,46.775024
22.040358,19.118172,4.3275065,-0.9732661,4.599557,22.15658,8.076587,5.4375534,80.06404,2.8373141,26.849436,11.032107,38.4559
2.1338744,17.528465,-0.6014371,-2.7892787,3.4209497,18.370558,7.8135266,6.536796,81.390656,3.12497,28.477049,20.388195,41.408176
0.6486613,12.213697,3.5346267,-3.3459818,0.29550067,20.09882,8.522865,6.0358424,93.93279,-2.4379542,27.426092,8.898299,34.85058
-10.675068,-11.164308,-0.5779742,-4.236497,0.6124346,11.028741,10.163992,3.4464748,71.252045,3.478055,17.79688,7.5080466,38.03917
-15.032404,-16.169636,-0.8318328,0.46661973,2.0148847,6.1122017,3.1168764,1.6749061,-21.836073,1.3321924,0.6034319,4.736149,19.302376
13.40792,19.3819,1.3866404,3.5791476,1.0836964,20.799479,10.158815,8.663884,96.19058,5.312365,22.44313,6.29584,48.729874
20.888872,24.228476,-2.4633033,6.645364,0.8210442,21.091656,9.756664,6.407334,95.305115,3.3477132,35.600037,23.870094,41.930443
