Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
5.155743,0.22218592,0.1002735,-0.10419235,15.855316,0.577083,0.11362427,-0.19665466,27.911798,1.8286849,7.01458,1.603053,0.87531286
5.026665,-0.017583298,0.1631042,-0.12283242,15.480423,0.6690223,0.19619414,0.0008523229,24.00332,1.0655192,6.3161526,9.027718,0.09676266
4.8373566,-0.018405737,0.04320607,-0.45412937,15.58724,0.1886391,-0.10434553,0.23225805,23.62347,1.1201216,9.768814,17.363605,0.80417067
0.6514583,-0.0029897392,0.26219064,-0.5016588,17.765516,0.16812856,-0.29692385,0.121097386,12.009893,0.990093,9.102303,17.201004,1.1201925
4.014053,-0.011348667,0.1631042,-0.20810273,16.888628,0.09038426,-0.041178543,-0.3707755,23.95717,1.9487566,9.603983,12.0924225,0.3668091
2.0881248,0.21540347,0.3413435,-0.2283746,-4.170375,0.494586,-0.08594915,-0.080461584,26.240774,0.32260466,9.260346,2.791496,2.4277072
0.4838441,-0.029345162,-0.001671412,0.18210962,-8.51842,0.40937638,-0.65479505,-0.24830171,5.8394694,-0.036070537,0.070270374,-13.097227,-0.5775132
-0.57054555,-0.03212582,-0.009420575,0.64638764,-7.978174,-0.08128803,-0.5277979,-0.50981313,-12.13342,-1.0124166,-8.019511,-7.5381503,-0.3550154
-0.33059338,-0.01908473,-0.021245826,0.64638764,-7.607345,-0.060346436,-0.5103742,-0.42904192,-9.338761,0.27484545,-8.4597025,-8.119126,-0.38601962
-0.42470378,0.12584728,-0.028728765,0.7194604,-8.749102,-0.084790476,-0.49180877,-0.4993833,-9.470193,-0.7921699,-8.083845,-8.233041,-0.791528
5.622504,0.23739892,-0.035010908,1.112026,-8.119805,-0.059063025,-0.92726356,-0.2571583,-5.74617,0.10780356,-8.0025,-9.418618,-0.31627005
5.252034,0.19353434,-0.064046726,1.6033076,-2.1916533,0.14523719,-0.41294476,0.00898767,-0.09049529,-0.6440315,-7.594714,-6.3868904,1.2385274
1.0518558,0.25613096,0.2069496,1.369703,17.62698,0.25737163,-0.35686615,0.0052284086,-0.4489374,-0.27109185,-4.9910307,-5.9084764,2.22769
4.169984,-0.011575492,0.32464647,0.42537358,20.357822,-0.0059310715,-0.0029123714,-0.12659341,-1.7308141,0.66614693,11.206934,22.247402,1.8191472
10.229317,-0.017583298,-0.012451178,-0.14277275,11.546043,1.5572723,0.8247745,0.44436842,21.246815,2.5107217,8.277822,15.006379,0.10098855
3.204344,0.34530613,0.35117564,-0.44106436,-7.1138606,-0.13592434,-0.36522582,-0.5140978,21.885214,-1.5372046,9.215512,0.66708225,1.0181588
0.82879454,-0.04769618,-0.02549312,0.28506178,-6.3770595,-0.14559947,-0.595723,0.147964,2.0054114,1.6743228,-3.593612,-16.401558,-0.30056944
-1.9892582,-0.19275726,0.030348197,-0.28986034,-0.8557211,0.058469143,-0.11550768,0.20704874,-20.657469,-2.3786416,-8.458473,-1.9405199,0.01886174
3.9186735,0.014048804,-0.081218384,-0.2778009,8.76058,0.07888356,-0.039241236,0.2380218,-24.021599,-1.4446752,-8.460902,-2.1201534,0.37479138
4.8445296,0.014048804,-0.07488245,-0.1882986,7.871657,0.10228293,0.034503654,0.28128806,-22.370342,-1.4043212,-8.30991,-2.3500495,0.42856455
3.8513975,-0.2728116,-0.005309798,0.7480661,17.261946,0.21638265,-0.103217244,0.22658013,-18.099249,-1.3888605,-4.1599827,-0.99749804,1.8496435
0.95137876,-0.33468565,0.56882846,0.2236096,12.201222,0.21725112,-0.06703429,0.39417803,-20.79044,-0.3584833,-3.0374198,-1.8503228,1.3591464
-1.2663658,-0.32164457,0.04877269,0.0021453649,-6.9521484,0.18196866,0.15955982,0.3285094,-12.55634,-1.904892,-4.2524896,-1.0898687,-0.47154734
-3.7667773,-0.107911296,0.14158392,-0.10617024,-6.4414377,0.024032384,0.054995105,0.39265832,-16.702847,-2.373825,-8.5275,-6.1739926,-0.15716931
-3.7426581,-0.107911296,0.10554135,-0.07282306,-5.9021196,0.150121,-0.06861864,0.2188131,-26.497803,-2.6505618,-8.860056,-8.083216,0.18590342
-3.5641055,-0.107911296,0.07744803,-0.11052857,-8.346049,0.20253839,0.13743636,0.36374173,-25.638699,-2.239925,-9.38988,-7.175369,0.2557879
-1.0629059,-0.03212582,-0.11126089,-0.09525639,-2.9363673,-0.05743961,-0.11830022,0.24685636,-22.814545,-2.231606,-9.57867,-7.552723,0.4509941
3.587436,0.734622,-0.1401722,-0.01886876,-5.9230766,0.08435253,0.122716844,0.29888386,-25.691042,-1.7895072,-10.820889,-8.394414,0.41821218
5.1383967,-0.020819396,-0.42172647,-0.19782639,4.9653454,0.15438,0.097012036,0.27990714,-20.72701,-1.3873676,-8.856753,-6.9549427,0.5960078
2.9183695,-0.020819396,-0.31169766,-0.12561533,8.960669,0.09459301,0.014983641,0.2573866,-22.004005,-1.6332134,-8.7733135,-7.5300155,0.28237715
-0.72376007,-0.03212582,-0.09639594,-0.23227312,-1.1976254,-0.028042734,-0.10317733,0.24348088,-22.821987,-2.3525958,-9.308878,-6.5371075,0.19867387
-1.8474072,-0.107911296,-0.045132834,-0.24556518,-2.2298806,0.22514285,-0.06559414,0.22084525,-26.821995,-2.4984663,-9.727527,-7.720381,0.4448948
-3.5072892,-0.107911296,0.014221405,-0.15225294,-7.6127276,0.15092386,0.1793822,0.3856739,-24.291,-2.089961,-9.500122,-8.599403,0.25490528
-4.03331,-0.107911296,0.08493097,-0.1061679,-7.813083,0.20225768,0.17028812,0.38400343,-25.17473,-2.2569425,-9.637518,-7.8782673,0.26864338
-5.0109925,-0.107911296,0.08493097,-0.089561865,-7.638894,0.20225768,0.14838862,0.37508985,-25.0602,-2.2463422,-8.9784,-7.838505,0.26233184
-0.4604896,-0.03212582,-0.14128155,-0.017944455,-6.335216,0.074966736,0.08710028,0.28027505,-25.744379,-2.39199,-10.185393,-8.19992,0.3156731
3.1710958,-0.020819396,-0.428424,-0.27313,1.3991115,0.09089958,0.158087,0.26083964,-25.955208,-2.0744555,-10.196692,-7.161935,0.5453435
5.14572,0.734622,-0.428424,-0.029521972,-3.0999405,0.09347,0.059093315,0.2397188,-26.531961,-2.047943,-10.11911,-6.646384,0.47199363
4.006659,-0.020819396,-0.61335194,-0.060970403,-4.3614645,0.09706291,-0.09500344,0.19857001,-26.647797,-2.0777473,-10.252383,-7.1495905,0.61139613
2.9981616,-0.020819396,-0.3541668,0.008192599,-5.9246674,0.106393054,0.19620898,0.28734082,-26.398237,-1.8376378,-10.69506,-7.5756907,0.043435276
-0.6879086,-0.107911296,-0.03256993,-0.028659083,-6.1589894,0.09470142,0.06271356,0.28027505,-25.941858,-2.3842785,-10.0825815,-7.818892,0.29216605
-1.5398716,-0.107911296,-0.02635621,-0.28694993,-2.4017284,0.2241541,-0.06559414,0.2219651,-26.93817,-2.5037706,-9.678564,-7.768981,0.4528016
-3.7187245,-0.107911296,0.07744803,-0.21104166,-7.8207827,0.20365824,0.13743636,0.36486158,-25.515251,-2.1641436,-9.305556,-7.362515,0.25031298
-3.7176988,-0.107911296,0.03760986,-0.15052229,-8.331077,0.20365824,0.16787559,0.36848587,-25.300066,-2.1480694,-9.409458,-7.414354,0.26601547
0.14003697,-0.03212582,-0.52882636,-0.041679025,-6.863131,0.20915833,0.26403257,0.42686898,-25.668365,-2.3654351,-10.041515,-6.2289457,0.2976122
3.2322745,0.014048804,-0.428424,-0.19171652,-2.981104,0.09119957,0.003994772,0.24100018,-32.079975,-1.9784435,-9.350766,-4.327783,0.4339476
2.4195533,0.014048804,-0.5031269,-0.04055103,18.021055,0.2815273,0.11115029,0.22664964,-27.9284,-0.73788106,-8.159079,-3.6486487,0.35057154
1.6117779,-0.13088319,-0.16146722,-0.25760236,9.110295,0.0834497,-0.015859336,0.2692572,-24.97653,-1.9484383,-8.180305,-2.7592568,0.8735372
3.014839,-0.13088319,-0.011597635,-0.038693897,-6.315893,0.10027914,0.22684783,0.41894704,-18.609648,-2.0546725,-9.085008,-1.5349517,0.24571326
-1.768454,-0.107911296,-0.08230919,-0.25397703,0.91356575,-0.012453242,0.061477266,0.21483815,-22.362513,-2.229467,-8.617106,-5.44355,0.3868652
-1.3656949,-0.107911296,0.044929672,-0.016872767,-7.742167,0.2928009,0.23289868,0.38484222,-26.024582,-2.2027419,-9.684979,-6.1845713,0.20688835
-3.4504514,-0.107911296,0.15311298,-0.08603312,-7.149195,0.24075031,0.22185498,0.37691432,-26.632778,-2.3015368,-9.502694,-6.187644,0.16382638
-3.3019853,-0.107911296,0.14171743,-0.08780673,-6.101299,0.150121,-0.17423393,0.21431614,-25.870672,-2.363367,-9.230252,-7.9274974,0.18590342
3.0454075,-0.020819396,-0.5351085,-0.04260333,-7.0778894,0.2148467,0.30039635,0.43828416,-25.500353,-2.2383707,-11.2630625,-6.790839,0.374414
3.7130866,0.014048804,-0.16012591,-0.044601433,13.076188,0.17287236,0.06374824,0.22823797,-29.60783,-1.4025208,-9.044172,-2.9730792,0.5621949
-1.6129873,-0.32164457,0.06090005,0.025943942,-5.211552,0.085398875,-0.039624073,0.13342959,-15.662831,-2.2659388,-4.7380357,0.02512412,-0.43574002
-3.2023714,-0.33468565,0.1306045,-0.1142032,-7.1184573,0.1393142,0.025464565,0.33275095,-19.47973,-2.4820197,-0.99395794,-0.91693866,-0.26884446
-5.827949,-0.32164457,0.07885938,-0.1142032,-5.313781,0.03339378,-0.009906442,0.25495908,-16.078428,-2.337602,-2.1052032,-1.3443261,-0.50760555
-8.1262865,-0.32164457,0.07885938,-0.032031704,-5.2870836,0.039040845,-0.02629625,0.1589745,-16.251358,-2.3929536,-1.9197642,-1.288735,-0.5442835
-8.782045,-0.33468565,0.13647643,-0.017090812,-3.460257,0.070227,-0.17528805,0.15447754,-20.92114,-2.3701952,-1.8257267,-2.113143,-0.44727036
-7.584431,-0.33468565,0.07885938,0.032266043,-5.5148745,0.04881689,-0.07440923,0.1589745,-20.799711,-2.4818463,-2.635879,-1.8638949,-0.5532719
-3.800512,-0.33468565,0.11878037,-0.094403684,-7.14628,0.12800492,0.04476945,0.36871693,-18.897646,-2.1436176,-6.8613815,-1.8793889,-0.539929
-1.8883916,-0.19275726,0.038102422,0.011500411,-6.6348543,0.06246183,0.102308735,0.4006567,-19.37299,-2.1796021,-7.8374295,-1.7332431,-0.705538
