Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
-4.6515775,-7.894298,-1.427212,-1.3387313,-4.983011,0.55625516,-0.36053166,0.18892027,-3.9669175,4.531734,-2.998569,0.2248846,-2.2226765
-4.646471,-7.362408,-1.2261454,-0.40014857,-4.4376597,1.0231905,-0.34453452,0.6000845,-4.6415987,5.580572,-8.363678,-8.897946,-2.085576
-5.010482,-7.46555,-1.3696834,-0.2661949,-4.494518,1.3450452,-0.16427234,0.61626565,-4.6107507,5.9290953,-7.213458,-9.18746,-1.682738
-1.8794593,-3.2773986,1.7675836,-1.346421,-3.0500026,1.4005369,-0.1570755,0.5685506,-2.1376894,8.012155,-6.035979,-5.2625713,0.16983715
-2.3132699,-2.0542495,1.1778162,-4.087705,-3.1868606,-0.67280555,0.1762566,0.21603322,8.518887,4.2293615,12.804412,8.820331,-0.90162104
1.6216773,-0.95655096,0.99634004,-3.0847247,-2.2265608,-0.2949066,0.24290565,0.4330016,8.831722,4.690412,18.740683,12.103398,-1.4623085
2.879678,-0.42248243,1.3141235,-0.39305726,-2.1598969,-0.14380027,0.5730145,0.49653164,11.326557,6.635633,20.195616,13.317055,-1.0304685
-4.3414845,-8.038434,-2.035037,-2.5830996,1.7057868,0.08298764,0.5446276,0.24386685,-4.5811844,5.0859694,13.657055,10.090376,-1.1132646
-3.334334,-6.8292994,-1.0562354,-1.3958592,-0.7447702,0.71611756,-0.12807651,0.36274633,-3.6551242,4.709377,-1.8346132,-0.42985615,-2.684247
-4.7455306,-7.5626397,-1.2333034,-0.33522302,-4.0556135,1.2663528,-0.16270952,0.62516624,-5.1092043,6.2897835,-9.793794,-9.693557,-1.5580822
-3.8686514,-7.207116,-1.3485286,-1.730168,-0.8153025,1.1833076,0.019310407,0.7696318,-3.795164,6.032414,-7.271572,-8.47184,-0.20960754
-2.5361426,-3.8763585,1.5923032,-2.2731743,1.4801935,1.2821913,0.08778438,0.48289773,9.34342,6.443938,-3.8460639,-6.059644,0.064581886
0.020794129,-1.1289253,1.6922957,-3.6569133,1.5412738,-0.36182347,0.28201476,0.55784845,7.888038,6.096496,19.780973,15.525842,-1.2383529
-1.6112471,-0.23473382,-3.0476604,-2.856668,-0.9143245,1.338544,1.0599757,0.4611309,8.591233,5.7320714,21.878864,20.73253,-0.9211175
-4.000871,-6.1143966,-0.8184879,-2.5393965,1.6033504,0.58197,0.549689,0.26153827,-4.517811,6.1105394,14.835237,11.929831,-1.111441
-4.1640344,-8.105749,-1.2951335,-2.038965,0.34101123,0.6040203,0.088420585,0.36274633,-4.262997,2.123992,-3.2769215,5.5851564,-2.5339735
-4.5555863,-7.070306,-1.1366717,-0.8572209,-3.270941,1.2576445,-0.14225578,0.6082075,-4.6496563,5.6803975,-10.109965,-8.4058695,-2.0048778
-3.8630552,-7.2270465,-1.003779,-0.88846534,-2.1254995,1.4786059,-0.084287,0.58771276,-4.5261497,6.5179243,-9.686343,-9.328256,-1.5391964
-2.2453089,-6.0423613,0.16217574,-1.9528083,1.8040652,1.6475123,-0.2152335,1.0325083,-3.5335546,8.118181,-6.7970796,-5.877475,0.08127736
-3.140935,-10.699458,0.5305171,-3.944857,1.1642631,-0.3366272,0.47273466,0.28754434,6.4971414,4.7785535,11.759093,8.052179,-0.8205834
