Air_temperature_base,Soil_temperature_base,VPD_base,SWC_base,Precipation_base,SOC_0_base,SOC_10_base,SOC_30_base,LAI_base,BS_base,PV_base,NPV_base,CI_base
-9.981044,-12.981544,-0.7447308,1.5750122,-1.4152944,1.0068225,-2.1021597,-0.58914906,-7.5199013,0.5096676,-3.0714447,4.8506083,-1.4520012
-5.668958,11.375679,-0.75064605,1.7817693,-2.2910664,1.9383876,0.51078796,-0.8607958,-9.301632,-0.60274637,3.8655753,10.289775,-2.9559042
5.0716333,12.159925,-2.8148246,1.9624686,-0.048416376,4.1828914,1.8597116,-0.6737306,26.07532,-2.4295225,5.5508337,0.5723965,16.362928
8.899198,11.967416,0.12787227,1.9871863,-1.5375979,4.052831,2.3589454,-0.6553298,15.07842,-0.18931758,5.5590787,-0.6116142,14.82556
17.11064,13.259147,0.28846964,1.5440247,-1.9199252,2.306939,1.0452682,-0.47466218,6.2664647,-0.7139623,1.3165215,3.0056937,-7.5059505
6.410395,14.888452,-1.25345,0.81096286,-2.0827208,2.932183,1.2730556,-0.91228354,-4.905614,-2.916618,0.6145151,1.3384418,-1.4146857
-2.524014,11.451806,-4.0844207,0.8277977,-1.6175501,4.36478,1.0009093,-1.3545659,-13.341604,-2.6254005,-1.5508368,0.2705178,-2.1272178
-18.230936,-17.355204,-2.5960956,1.4641699,-0.21587828,0.82066166,-1.0989317,-0.4325924,5.3754144,-1.1979891,-1.8117958,0.72664094,-6.1378465
-16.200901,-20.057608,-2.0131402,1.1590488,0.0712825,0.7603711,-0.111843996,-0.46469918,-1.600625,-0.9246741,-2.7372184,-1.6839874,-11.722427
-13.498992,-20.125946,-1.9520911,1.5904503,0.27121794,1.1336751,0.020467378,-0.49244118,-2.4947383,0.44555667,-3.531041,-1.1881577,-11.027863
-14.303958,-18.20943,-2.0766304,1.6224229,1.3895231,1.4343693,0.12029889,-0.47362342,-9.608377,-0.7767246,-3.760337,-3.3251684,-10.797367
-12.097102,-15.376275,-1.7077178,0.8612647,-0.35905173,1.7816445,-0.45222208,-0.5330174,-10.144845,-0.02594278,-3.480267,-0.047450043,-1.4653542
-8.714658,12.62107,-2.3061829,1.6294063,-1.1409246,1.7248718,-0.122123756,-0.6047956,-3.8453047,0.61253273,1.9685162,11.876127,-3.4957254
