Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
7.812022,1.162689,0.28122777,-3.4415681,-0.056493327,0.18448707,-0.62755996,-12.694496,-3.9520206,-1.014536,-2.0560584,1.4168957,94.87759
-1.3000696,-0.39960888,-3.4491417,-4.786879,-0.045782216,0.13852961,-0.5230754,-12.968198,-5.381435,-6.1097026,-1.8232298,-0.19100964,91.42503
-5.823817,-4.0323663,-0.51845473,-1.7327824,-0.053848825,0.36259365,-4.3024464,-13.68178,-0.37879398,-29.205097,-1.3270799,1.0272186,37.70875
-8.358446,-10.423268,0.39050502,-0.13738474,-0.6227883,0.72782755,-5.6373515,-3.9634671,-1.1604397,-12.078326,-3.371442,-2.5801263,-30.47112
-2.101863,-0.18992326,1.9354031,-0.5592314,-0.25006336,1.0256797,-1.9300987,-2.7983203,-0.44274923,-10.945584,-2.7253413,-0.6056513,-59.831802
-3.484533,-3.0078175,0.8015957,-0.16643777,-0.28949323,0.44438964,-2.2221787,-3.0688398,5.1632524,-11.44627,-1.8434472,-1.3147931,-65.06155
-6.353262,-9.097319,1.986953,-0.14328462,-0.64661956,0.30756247,-4.6314945,-3.6381645,3.339885,-4.8687415,-1.8422389,-0.7660697,-36.876236
-8.558853,-4.9398637,2.401388,-0.091816895,-0.13180621,-0.81389016,-4.3527503,-15.039148,-3.741938,-32.24013,-3.8766544,-1.5305037,27.608303
-6.858481,-3.6701543,2.8394225,-0.6445878,-0.03307814,-0.82653093,-4.364595,-14.707679,-3.4636712,-31.524237,-3.3983226,-1.2624241,27.355967
-5.9720435,-3.4496977,2.8142045,-0.83707124,-0.024880886,-0.7659513,-4.4247823,-12.6406355,4.764808,-33.74038,-2.560353,-0.5732541,27.942389
1.8379692,-2.5254574,4.2615333,-6.5131273,-0.23583986,-0.62524647,-1.5325714,-12.319431,0.28338134,-32.527836,-1.7466825,1.6897595,57.02613
-15.703972,-8.553685,-6.559006,1.6802014,0.100688085,1.918052,-0.75980186,1.6291026,10.52145,7.603295,1.1070616,1.4977031,-54.087303
-26.676556,-18.058495,-13.184388,-0.7834577,-0.35505685,1.0545654,-4.721577,1.244987,0.3827021,6.4820333,-3.7234437,-2.2084558,-24.335123
-26.507784,-22.384827,2.9313726,3.19302,-0.058784015,3.2908795,-2.6679718,2.0171595,-0.1189218,7.992486,0.48748693,-5.79614,47.274055
-36.567333,-23.29532,-8.224522,5.070991,-0.062425267,2.3374748,-0.5930665,1.3064063,-8.01597,2.1017187,-2.4608943,-4.785444,97.381035
-20.2359,4.09748,2.1920345,1.9079293,0.01945125,2.1383154,-1.0887092,2.0507848,2.7178183,4.624967,4.1272173,-2.495289,118.02321
-15.686378,3.629731,-0.753316,3.08705,-0.008471957,2.4080758,-0.5591828,2.1471734,-4.954457,5.5013294,2.8159943,-3.4139369,119.440056
7.866156,7.838722,6.2755795,-2.3529491,0.0437892,2.2678914,-0.56077904,2.2557952,-3.0135975,9.627064,0.48146334,-1.2501805,122.224014
12.188486,8.389431,5.8589215,3.422448,-0.062425267,2.616287,-0.6372075,2.5418067,-0.25295782,11.129681,9.431203,5.9644175,130.66826
13.046783,7.8960752,7.5940514,-1.3384364,0.0057836967,2.4598367,-0.1452156,2.359359,-0.26646268,14.646483,5.8205433,7.3751516,130.11172
-9.665379,1.491797,7.169772,-4.536936,0.0057836967,1.3924963,-1.2355583,2.4942288,-1.2112373,9.6049185,-2.3874784,2.3475583,87.98339
-27.55106,-17.67279,2.1524444,-3.231531,-0.062785834,1.8331295,-3.1343246,2.2166574,0.4706365,11.16838,-0.87862307,1.1247693,43.156506
-12.220643,-9.607212,-0.7593275,0.48500502,-0.24540256,1.4808148,-0.99463254,1.9761869,9.402529,8.956047,0.11645629,1.2446494,-53.477993
-17.453014,-12.748644,-0.61304957,0.20448218,-0.24501987,1.7981926,-1.0810924,1.7467016,-0.10909514,5.000578,-0.17110881,-0.1644829,-51.212944
-20.375444,-14.821067,4.906588,0.4578086,0.685036,1.1707025,-3.8793,1.5452377,-0.73933524,8.629917,1.3375202,0.383411,-9.207693
-37.707222,-25.68093,1.2508553,-5.9817057,-0.055119954,2.6038623,-2.4038467,1.8949052,-7.518916,1.2219802,-1.9939387,-9.192569,34.189312
-23.53555,-18.300234,3.256741,-9.440596,0.0057836967,2.3799083,-0.4743827,1.1931431,-6.1328425,-2.104905,-7.2419114,-12.962016,92.81464
-12.51751,-3.1962068,-14.192177,-15.996555,0.0057836967,2.072525,-0.39374483,1.4147716,-8.981924,-3.3625464,-17.955816,-25.91422,71.18061
7.4885716,3.9785464,-5.9774427,-5.7185464,0.042050704,2.0814896,-0.5431382,1.9117892,-4.0129437,-0.97080535,3.245717,-13.405809,119.66282
3.5767336,4.09838,-4.7319345,-12.865376,0.0057836967,2.2589858,-0.5046847,1.8152916,-4.579616,0.016682178,-0.04827644,-6.4448595,104.69115
4.534632,4.0162854,-4.4901085,-8.028037,0.017712757,2.1470466,-0.3343883,1.628504,-5.872981,-0.04347217,-12.854383,-18.795437,86.51447
-19.719717,2.4090939,5.361273,-8.793176,0.0057836967,2.3763819,-0.6313255,1.8835574,-4.0343075,0.33226752,-0.24480884,-8.073562,110.73895
-28.783983,-21.123384,-3.9085517,-17.53415,0.0057836967,3.1101344,-1.0890956,1.4765936,-7.5421367,-0.8878614,-1.0707976,-11.957061,58.324146
-37.088013,-23.011543,0.8129367,-5.8178763,0.055378582,2.9944973,-1.7418941,2.1534326,-2.6297894,-0.19594613,1.8382398,-0.73376787,40.224743
-22.302185,-13.40944,-9.922329,-0.52103144,-0.24501987,1.4475842,-1.3972981,1.5512353,-1.3225448,-1.2300521,-1.1000264,-3.4390318,-51.88038
-21.866795,-14.510957,-11.828319,-1.1634781,-0.2992796,1.2790083,-1.461735,1.4576852,-2.8390872,-1.0544786,-1.4081947,-3.6540058,-54.903954
