Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
-58.412163,-1.3636668,1.7669553,-0.49622107,-1.9009366,3.5832312,-0.30547267,-5.9685473,0.23393153,-1.962056,-0.8588302,-1.091734,0.49953112
-52.867134,-1.4712152,4.5171585,2.5752618,-0.7820944,2.9150853,-0.19493262,-5.2753086,0.0034821,0.2816009,-2.3215187,-9.496803,0.37312254
21.769564,-1.0574296,-0.58686495,-1.0848303,-2.9466593,-1.806975,-3.409866,-12.741798,-0.31245974,-2.101255,-3.9971757,-18.361801,-6.007413
58.13252,0.8770733,-2.689049,-2.6857677,-0.7637407,0.10100772,-5.217311,-13.769908,-0.019021096,-1.7632409,0.2928462,-6.6967516,-7.5848055
58.24196,0.3534245,-6.9217367,-2.0101213,-0.3452821,0.96580285,-5.4164395,-14.880526,-0.8437511,-1.4380842,3.0410268,-0.07413283,-7.5877657
53.492638,0.43204316,-1.121304,1.7418993,0.10472044,0.7249748,-5.09844,-12.858313,-0.18598475,-0.54423976,1.9759499,-0.31883234,4.1251597
10.39689,-0.5613209,-1.1169084,2.8466854,-0.43125284,-4.732865,-1.6370811,-11.8397,0.48531094,-3.8456106,0.09535439,-2.875143,3.9951875
-47.412136,-1.3919204,1.7122982,1.1182295,-2.0088189,3.9268,-0.67372566,-5.385839,0.15101953,-0.58550787,-0.7074121,0.8943471,-0.2545928
-54.400024,-1.4103196,2.3913846,1.5043625,-1.9040554,3.0071633,0.37497607,-5.1733346,0.033664405,-1.3512619,-2.2031822,-13.681658,0.89663786
-24.785128,-1.4561673,-0.3072937,1.4716017,-0.7083948,3.0474024,-1.3403258,-6.243363,0.05085932,-0.4793623,-2.1484156,-13.749945,-4.1623826
25.437431,1.065312,-1.2987542,-2.4519203,-0.79490936,-1.3139626,-3.5786796,-14.565562,-0.25587103,-1.0047243,-0.77381444,-16.770302,-6.0700803
60.60883,0.89562625,-1.8054241,-3.8629436,0.20602235,0.43569568,-5.3972845,-12.870803,0.22368963,-1.1689199,0.64320016,-2.7669127,-7.639148
40.356625,1.6466197,-0.25497076,-5.8237143,-1.0564363,7.6353593,-3.1853108,-21.311232,-0.29096195,1.5637757,2.7469454,21.08406,6.3716273
8.570958,-0.9893298,0.7376081,-2.3322427,-0.9587267,-4.564455,-2.3947356,-12.996117,0.5158785,-1.2663631,-0.97602934,-3.2707539,4.558625
-51.017044,-1.4605525,1.0737993,-1.8121164,-0.8273234,5.153314,-0.7041801,-5.847296,-0.04419065,0.49559197,-0.7599446,1.2529505,0.1798422
-35.105995,-1.1412314,0.977017,-0.8561976,-0.9844909,2.7444003,-1.2471265,-6.8061676,0.002750318,-0.48335025,-2.0605938,-14.634364,0.40560728
9.822398,-0.48388714,-1.2069927,-4.4023175,-1.0307766,-3.816231,-2.1963427,-11.592444,0.39866412,3.956625,-3.670105,-12.129796,-5.3998165
41.67187,0.8458857,-2.1258671,-5.260354,-0.12652197,-0.8349908,-4.230682,-14.7800045,0.46450672,0.2977952,-0.3220584,-5.9482274,-7.6972218
58.07799,1.2810608,-0.5222189,-3.240099,2.6288736,8.293725,-4.82574,-16.16757,-0.5134602,4.071928,1.5268334,14.689961,-6.4035115
50.47666,1.0050313,1.1665256,-5.784602,-0.7568834,1.829421,-2.69801,-16.690271,1.0799162,1.0314277,2.4696002,4.0137687,5.7762446
9.904259,-0.5941255,2.7751665,-5.136148,-1.3494819,-2.193703,-1.9637378,-10.290887,0.6393954,-1.5812614,0.23674867,-2.736335,5.9038644
-61.86814,-1.7943878,1.4021333,0.4401645,-2.0571382,1.8794674,0.5021537,-4.7860255,-0.012474525,-1.8033851,-0.7521421,-9.701248,0.28586766
-54.716698,-1.5252259,1.8484682,1.0074149,-2.4726574,2.8264751,0.29039955,-4.92254,0.07500185,0.071330905,-1.95612,-10.5620575,-3.6456568
4.978345,-0.899995,-1.1090188,2.663199,-2.9433,-4.778825,-1.9231465,-10.623922,0.3326031,-2.422582,-0.54863554,-7.767088,-6.093637
26.18842,1.0884565,-1.4734466,3.115912,-0.51876235,-2.9045987,-2.802651,-15.661236,0.19727685,-1.3095225,-0.39779225,-4.0293775,-6.4110045
54.70945,0.9774888,-2.5147972,2.656795,-0.37405643,-2.006415,-3.5830693,-13.403927,0.28803334,-0.7601607,0.49764705,-6.119592,-7.9118977
56.407562,0.9654489,-2.0990448,3.2216651,-0.5042562,-1.6240726,-3.6564348,-13.598832,0.2854454,-1.3912709,0.47997063,-7.0605655,-7.876395
-16.803913,-0.7614168,0.03730625,2.6446385,-0.82520944,4.2343683,-1.200481,-7.4856844,0.33988297,-0.4288569,0.47498852,-0.46430087,-0.77509063
-54.9519,-1.1239791,1.4349228,2.3599668,-0.77414674,4.1255956,-0.26409572,-5.317998,0.016451385,0.19733724,-0.63876843,-0.52203006,-4.1826496
-60.04946,-1.6492805,1.3120025,0.7035337,-2.1719906,1.6736414,0.3581464,-4.8481727,0.30830684,-1.5881126,-2.1099112,-13.406004,0.62962514
-55.03779,-1.5232276,2.0936363,0.0869248,-2.1808743,2.158432,0.27551267,-4.873868,0.07172244,-1.6331314,-1.9893366,-12.981217,-3.175463
-40.320133,-1.1569312,0.73231196,1.0371904,-1.4517475,3.0478284,-0.66443396,-5.7654314,-0.17072034,0.04699543,-2.1580603,-11.741649,-3.6700764
6.8001103,0.99995434,-1.057219,2.536043,-0.9284466,-7.367934,-2.1938026,-13.877162,0.31636515,-1.7177755,-0.19681717,-8.14849,-6.3837113
41.788696,0.51141095,-2.0317917,2.4978416,-0.6496246,-1.5543826,-3.6715443,-14.676642,0.1370183,-0.12533711,0.1635563,-7.2423034,-8.079751
11.909783,0.83076745,-1.142166,3.754858,-0.5010294,-0.04528582,-1.8062817,-13.875891,1.144046,0.18125272,1.3829589,9.406912,-8.115569
-16.989805,-1.0452864,0.41845113,2.7116098,-0.8652312,3.812657,-1.305967,-8.165903,0.29111984,-0.5828489,0.043465164,-0.3196517,-1.2392118
-63.574627,-1.6146502,1.2781318,2.3188946,-1.3557186,3.0018308,-0.10288637,-5.051052,0.5459302,4.536054,-0.5641182,3.6716142,-3.8458893
-60.988487,-1.8073674,1.0843624,1.6267138,-0.935664,1.7000617,0.46617407,-5.072062,0.058793675,-1.3329328,-2.1679947,-14.025148,0.5876545
-53.95334,-1.3314238,2.2557833,1.3926528,-1.5419141,2.759169,-0.041934166,-5.4164863,0.027155925,-0.9926158,-2.1232731,-13.630361,-3.018095
-59.414177,-0.40358013,2.318116,1.9095248,-0.38164946,2.852065,-0.063538074,-4.6511846,-0.027853057,2.074856,-2.0870457,-5.119201,-3.1939285
-53.60397,1.4690155,3.350646,2.7098196,3.281917,4.4363546,0.5664262,-5.5530486,2.328728,0.473005,0.69602257,2.2125823,-3.2481437
42.554268,0.6482755,0.63323057,3.3223894,2.3343446,1.5429817,-2.6033096,-15.0468025,-0.23534687,0.29074788,1.8386604,2.458901,-8.224143
24.440289,0.94417703,1.4944013,3.0636234,2.27661,-1.0459154,-1.4229703,-18.109951,0.35205498,0.83284837,0.7862586,2.2694476,-7.877175
-63.299915,-1.7526479,1.9701982,2.101191,-2.0948367,3.2316523,-0.21385384,-5.240366,0.21626516,-2.4479427,-0.08361319,1.3471531,-0.25380683
-63.314396,-1.6545178,1.7777689,-0.65818435,-2.2533011,2.0182621,-0.12877995,-5.053849,0.3816064,-1.933758,-0.12475767,1.4428296,-0.10612473
-55.460102,-1.0312049,2.057422,0.42897642,-2.1645434,2.3274412,0.05885535,-4.676907,0.32185963,-0.26595637,-2.2660103,-11.198789,-1.8693769
-10.850912,-0.7570079,-1.6263319,2.6832232,-2.8670015,1.7073822,-1.8613112,-7.7063665,0.29844427,-0.3441165,-0.44147402,-4.6948204,-5.3280053
24.561049,1.0257124,-0.92941636,3.5811102,-5.7450175,-3.1480958,-2.1935308,-15.682821,-0.12940514,-2.0544128,0.14304899,-4.0800977,-7.1417794
43.057003,0.7183918,0.3235177,2.7340152,-5.713493,-1.9028711,-3.0695186,-13.354238,0.27274102,-1.3412836,0.25503072,-5.1373053,-8.007864
43.840885,0.74065596,0.30920887,3.9360213,-5.072493,-0.64662796,-2.7592938,-13.8161545,0.039805505,-1.5345912,0.25768873,-7.177234,-8.44515
