Air_temperature_causal,Soil_temperature_causal,VPD_causal,SWC_causal,Precipation_causal,SOC_0_causal,SOC_10_causal,SOC_30_causal,LAI_causal,BS_causal,PV_causal,NPV_causal,CI_causal
-56.92859,-0.48423138,1.5118209,-1.1391362,-3.1825712,4.069914,0.9206531,-6.723149,-0.20872703,-2.9283092,-0.46598032,-0.27757588,-0.70769763
-50.52042,-1.0758785,0.39003536,2.758164,-2.37162,3.83997,0.2794752,-7.19697,-0.14518899,0.3000282,-1.3603418,-11.019479,-0.38293642
24.97611,-1.9930199,-3.5311134,-0.96823674,-3.3980305,-1.7221764,-0.8030756,-11.942256,-0.6045939,-2.6445916,-1.818802,-20.558853,-5.4506474
61.628822,0.8753629,-7.228175,-1.7280132,-3.9379945,-0.8428196,-0.14201495,-13.77001,0.4174391,-4.3608346,0.045038715,-5.99725,-7.8856854
68.72792,0.3701636,-10.037184,-1.0386455,-2.7086205,1.6207052,-3.5726442,-16.704039,-1.5347893,-1.0234846,1.4774129,-0.24713852,-8.083735
67.543076,-0.064504236,-9.998069,5.5279875,-0.7712021,0.5601954,-1.2078421,-14.486804,3.87705,-6.5171747,0.46967056,-3.243944,1.5140543
9.0522375,-1.5125633,-0.022626381,2.7976818,0.86573136,-3.9775293,-0.23636934,-11.069087,0.31611142,-5.4132953,0.09534964,-2.4691496,1.3062954
-44.454967,-0.90027666,1.5658736,1.5493677,-2.7625813,4.338633,0.5769514,-7.524721,0.28576514,-0.47960332,-0.25263053,-0.31650537,-0.27343792
-51.48098,-0.7799767,1.7304827,1.924288,-2.070846,3.852214,1.11762,-5.170465,-0.2761561,-2.0197394,-1.3334426,-15.366084,0.059268553
-24.739437,-0.9779465,-1.6267099,1.3005673,-2.2724807,2.9444952,1.2193822,-8.390282,-0.08439562,-1.5532402,-1.3463426,-15.453841,-4.3682914
30.142242,-0.78729546,-1.7410235,-1.7783184,-2.3113687,-2.299249,-1.6592233,-13.130441,-0.05080191,-1.3722622,0.2974135,-17.851261,-5.4377527
76.18346,0.026704248,-6.298059,-0.25168803,-2.9941692,-1.6812211,-1.8223449,-13.123736,1.9927281,-2.3651314,-0.19271722,-3.212956,-8.013352
40.06227,-0.42763785,-2.4247615,-4.4483633,-2.791564,-7.0525904,-2.011219,-18.13227,0.09236097,1.148762,0.9506564,12.737264,3.8700402
14.455145,-1.8625004,0.3464935,-1.0704918,-3.5709343,-4.4824634,0.3679901,-12.174508,-0.28291902,-0.856905,-0.24815327,-2.8582606,2.2358658
-49.54836,-0.88407373,0.5897931,-1.0882479,-2.2502892,4.8340774,0.7870616,-7.662752,-0.19783662,0.16631408,-0.16123909,1.457342,-0.11512537
-30.674162,-1.1238924,0.43833673,-1.1070442,-1.9507525,3.4276752,1.1780552,-7.9748135,-0.3495172,-1.2703276,-1.5461566,-16.140167,-0.6013609
9.355666,-1.4068598,-2.937103,-2.1669276,-2.931766,-3.5029104,-1.9558644,-12.310103,0.11218487,3.5605662,-1.6124681,-16.311277,-6.0069017
47.71224,1.06991,-3.140599,-2.6818395,1.618432,-2.3129528,-0.7619356,-13.682168,3.1616597,1.9628417,-0.19064151,-3.5216298,-10.065807
