RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
51.77961,39.932404,42.748493,56.545376,49.385864,41.972744,37.96611,54.12854,47.994305,53.438755,44.232533,46.408527,46.03337,54.0169,49.334625,53.313232,51.205513,60.73385,41.17594,46.727737,45.81826,50.4821,48.363033,53.987213,51.18078,40.22551,32.78041,35.88601,42.019733,50.74047,39.755405,55.06315,48.82652,49.602585,47.150013,47.377556,46.150295,50.312992,45.81749,46.962803,40.41557
88.5099,71.23522,79.139275,92.70518,74.646255,83.66797,80.014275,87.36218,76.81518,91.16329,86.343315,68.47342,67.66176,85.545876,78.07833,87.64593,83.31593,87.77967,71.78155,73.38268,76.53232,86.19641,79.57629,81.71918,72.36959,90.15953,85.26491,74.45996,68.70804,83.098305,76.38511,84.67733,75.76968,88.42455,76.361984,79.27147,78.77835,83.10873,79.64666,73.036896,63.68385
91.80309,120.20557,133.57365,107.282135,95.455414,116.22401,98.357704,104.1079,121.001526,97.71235,117.60683,96.170845,90.084915,113.09452,97.74481,108.07344,116.39882,105.1379,106.781715,99.70445,125.586296,119.83803,121.488434,117.58665,120.459404,109.48666,107.53813,108.97774,114.06076,125.272316,134.06496,121.95758,132.2722,116.3844,93.84918,107.18558,122.89226,119.54734,116.09572,127.82687,127.29877
97.4088,236.51395,206.49295,186.4398,134.53696,149.75034,137.31369,207.22545,188.89162,185.3986,141.60147,179.13689,173.93541,181.82799,171.37103,198.53246,170.0898,167.98427,167.70499,192.23991,173.68048,145.29823,118.71396,174.84866,165.40993,156.22836,157.72626,147.17397,140.50046,186.7439,185.1755,175.274,139.1131,226.08337,196.68086,189.35124,158.6174,187.58588,188.97948,180.70302,159.97813
107.64626,262.11346,207.67325,201.83168,144.21017,170.18594,144.99489,208.3553,184.96468,200.27086,166.57275,198.19649,181.16325,187.6427,194.20737,194.0099,173.82773,174.45674,163.86948,197.75311,193.94191,202.68,167.13086,185.65518,167.75137,178.68132,196.08562,169.41411,169.10258,207.0382,207.76662,204.15967,178.37901,230.36896,216.60258,205.87657,169.93314,214.8228,187.15471,190.89713,166.65184
89.92356,236.52678,200.06822,189.69783,125.109276,196.58687,160.76064,191.64487,186.4031,192.8293,165.49023,183.5115,173.2823,191.3923,183.06573,180.82097,173.72296,158.14626,144.64139,208.0659,200.33089,200.89978,173.32727,177.84137,148.40146,163.75705,158.12462,172.52257,161.30356,203.15912,200.67189,196.37892,161.64342,216.61682,201.85266,189.7121,152.9539,195.23515,168.70079,170.14423,147.75583
72.4737,200.5661,161.72151,147.81876,102.95464,136.35602,106.941605,147.7231,126.28637,136.20766,119.50088,109.363945,98.3887,129.43669,106.316124,137.87946,116.2524,122.99815,117.07229,166.39745,123.2451,154.3243,144.10634,136.5914,128.0869,144.84538,124.57389,138.22737,119.64476,168.28813,158.77423,139.141,126.0073,145.72992,120.85434,145.48697,106.89707,140.4214,123.843994,130.93402,112.982254
61.47641,81.37588,87.57615,84.93677,82.21363,93.7087,90.21714,92.190994,88.75791,95.5673,95.1709,89.40809,90.713455,89.29511,87.812935,97.82151,107.54636,98.23487,83.21852,69.92831,85.75989,108.94803,115.12964,86.98254,74.17262,95.57997,99.16978,91.603966,87.52502,100.68964,85.02577,109.78572,106.62915,78.3268,68.32413,79.53447,84.83295,100.992035,107.10309,91.3321,85.86402
49.6683,65.73253,53.03983,65.03785,60.10118,59.51823,51.927624,75.26879,62.385986,53.45641,50.54574,53.256046,50.233536,51.058403,56.78699,66.02278,60.076443,77.48214,65.52505,57.12987,62.70215,76.29792,72.43824,69.22408,60.91274,59.73774,57.316933,59.61245,59.705524,75.84085,66.1951,67.886444,61.708435,51.849445,51.401535,66.88821,64.486565,64.080734,55.66504,44.244137,40.87962
38.06676,45.791656,47.934437,54.612984,40.84416,24.523457,28.953878,58.592766,44.738857,50.06097,42.933224,55.38922,52.13477,48.760803,47.240536,43.98388,39.326164,71.11576,46.935734,39.366585,40.963306,58.942677,64.03729,48.006447,39.983013,38.606007,37.670082,48.60971,51.511547,63.806953,57.02261,60.998695,53.54841,50.085167,47.11537,54.244583,48.742306,52.533363,44.678574,38.18182,32.25707
28.4611,40.154564,47.810337,51.49504,40.66589,28.01754,31.486755,50.751453,46.223076,45.036022,42.23698,49.606945,48.762623,52.824406,44.84221,43.401363,41.872,53.3701,38.437817,44.76495,41.162117,59.167976,51.58706,45.20139,44.29749,37.00881,29.86079,33.569393,34.450836,56.176437,50.62874,61.211475,52.21318,59.06959,48.157288,47.9942,45.439407,50.58793,41.56491,38.681297,39.11355
29.18384,32.118637,36.591614,47.338642,39.20131,28.931023,27.576284,37.465416,37.26407,38.551445,37.51997,44.74607,41.03279,41.271564,37.722702,41.15318,41.371704,42.78763,34.718876,39.838947,36.71986,35.91634,35.12167,31.366764,30.127016,28.514078,25.089819,33.061188,39.60862,49.453667,36.564804,50.871105,51.85383,39.355072,37.630577,39.269516,38.810917,40.71442,41.584343,38.316036,34.970383
34.09008,38.11139,40.323612,54.893238,41.587666,31.526861,29.806934,42.806606,37.116608,39.80339,38.00609,41.624493,39.021656,49.33433,40.360863,42.772022,42.817917,65.97336,47.03549,39.856544,36.780567,47.708675,42.516853,45.815838,42.070137,30.348505,29.526218,39.38986,39.05541,50.48487,39.01869,46.308445,52.841644,41.679974,41.38733,44.779785,40.392967,45.40478,40.34569,37.657192,35.936985
44.9469,74.85033,66.628654,87.40995,73.144264,74.832016,62.652683,98.004,84.65548,85.68999,93.69854,81.83316,76.602806,93.13997,84.69133,71.67279,67.41394,93.42407,74.706924,96.07394,72.35285,83.58364,82.21566,92.4242,69.532394,93.879555,92.32899,80.60056,82.17379,104.955345,103.904854,95.72486,99.476494,92.4693,76.117256,89.34157,91.788315,101.7018,84.411415,84.653336,73.38352
73.82929,152.5956,152.30238,152.52977,120.76932,132.63196,102.87153,142.8359,133.59415,143.20068,149.29472,135.54942,126.04691,153.22577,151.62119,147.79375,135.46315,128.92645,117.073364,158.47433,142.61554,157.11142,144.33096,151.23746,132.12906,129.6595,116.1425,136.9262,131.71776,148.23792,153.98431,152.31046,143.45221,160.28616,150.57013,134.039,118.97551,142.27692,142.76265,145.89075,158.54997
113.7456,209.5468,187.27689,193.21968,139.74403,143.02652,151.22308,174.29616,164.06583,142.0808,137.8591,135.41913,130.25482,153.89622,141.2281,186.02666,174.13448,149.73369,162.6184,177.06084,156.6075,158.6388,150.94913,166.79272,153.77528,153.12732,160.35672,144.15355,142.35036,194.82503,197.84862,179.28566,158.9849,198.91582,178.29674,165.28647,150.7909,183.05408,179.09393,176.48726,160.6359
115.42137,236.20923,195.17104,204.84502,137.43748,166.56807,134.99808,208.58244,187.2208,197.83296,157.3858,164.2206,146.13199,194.31792,181.30153,196.1312,171.9909,179.64293,170.47792,198.91466,193.32,160.48712,138.40044,192.6321,176.62302,166.982,152.27106,142.74348,135.10165,191.5175,193.38321,198.43176,160.79506,224.5904,204.77393,204.06006,171.10492,188.77869,192.4785,185.73604,167.54482
