RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
53.40959,47.4046,45.010883,59.437973,53.82387,51.83445,48.25875,37.867813,42.50942,50.03849,74.245285,53.576687,54.44556,54.002705,58.55211,52.633125,55.77079,47.287968,51.04364,47.82846,48.138615,62.889286,64.38299,71.346634,64.569016,49.030117,30.130701,43.92512,45.922718,41.300613,49.847836,59.80206,57.83303,44.413197,31.600187,84.09451,80.76939,59.442142,48.390533,39.768093,44.660553
47.55408,69.580734,74.69668,86.51965,92.71418,59.625294,66.70581,50.8516,41.253872,74.32325,84.916824,60.85926,73.39369,68.147316,82.617424,65.13067,70.802765,65.460724,78.05176,47.310993,53.38445,70.23662,75.42156,68.19549,67.10819,48.749588,28.353563,75.63247,73.34656,53.52559,58.58853,66.5805,77.15232,47.594524,59.148445,91.28076,87.7009,68.3666,65.87837,45.371517,53.925167
50.01726,72.78433,74.17917,104.86263,109.89218,64.92,82.60414,48.192425,41.253872,80.03512,101.40295,65.96415,86.59466,74.06884,97.79143,64.05042,70.802765,64.92404,78.05176,49.635406,56.96473,75.17539,89.98554,72.33297,81.2433,45.81431,27.094625,80.87888,70.392586,55.641636,71.068405,68.51828,86.79916,46.272396,58.267418,92.538635,88.50319,67.89879,67.099174,43.30977,51.737972
61.3638,66.20251,73.27113,100.35798,109.09716,100.50624,117.20826,46.935623,48.166897,67.98971,96.827,88.14852,109.90732,86.16666,117.7548,82.301384,82.07819,71.05327,78.77746,50.903854,60.76179,89.723946,96.59176,109.20926,103.4662,50.66662,31.431705,87.36357,90.0071,63.270214,77.97609,72.78972,95.09632,64.52827,74.37314,102.1938,97.66351,84.12847,71.639,52.118725,57.40091
69.36901,68.51225,75.19126,99.673775,109.9795,106.61088,115.64489,47.752724,46.543518,67.9222,92.59219,73.5303,107.50625,84.54261,117.8729,82.695175,88.17982,71.78358,80.96631,50.402107,62.27843,84.87572,94.887856,110.527985,102.57906,51.39998,45.95927,99.69214,93.50483,62.260025,76.860275,82.816635,110.519066,59.798153,66.76518,104.49025,100.25985,84.48545,73.01607,50.61179,50.5274
74.6691,68.51225,74.75162,99.673775,109.9795,100.50624,116.716675,45.012955,47.989437,65.65762,92.12186,88.82162,111.98608,81.20174,118.67894,81.61957,84.276825,71.60884,81.44205,50.435223,62.27843,85.42737,98.09231,107.34373,98.814354,52.233833,48.469093,91.04271,89.74143,63.318058,76.860275,82.816635,112.06597,59.327152,65.68692,102.34499,99.841965,84.48545,73.01607,50.591488,51.904015
75.92985,77.41271,89.966774,106.51312,109.955345,98.788994,108.83929,69.89877,72.60929,79.42255,97.80058,97.80444,117.20153,101.34041,126.680176,71.22398,85.3323,90.63725,93.20384,87.801445,76.776535,100.039314,105.637115,97.08047,107.147964,63.6916,63.77774,85.83485,92.409904,86.04873,89.78339,111.34349,126.53097,58.048904,56.76953,98.98548,96.069084,82.623276,87.938065,76.822235,69.76605
78.19347,76.254425,82.47929,89.91366,112.98799,104.412926,112.4483,70.70458,71.968575,67.290146,94.86334,100.977745,129.3937,87.414764,105.41273,70.619644,78.312645,100.78564,99.90889,91.76048,80.56048,94.84355,99.46492,85.60753,103.75554,52.3786,65.10327,83.74975,80.7938,95.85865,91.862564,100.16618,125.487946,65.90552,54.22576,87.508415,98.95311,83.325226,83.35634,69.351295,78.75065
81.8772,78.72339,81.80735,93.27572,108.692955,114.7526,128.6674,89.81027,84.537125,81.570564,99.69438,111.65429,124.0153,95.96773,114.7814,81.876915,87.4481,82.26113,94.06292,85.100945,86.23016,105.20568,109.85626,93.9844,109.98545,92.83004,105.660904,85.28475,82.14974,89.89043,91.25127,104.593925,110.502495,73.12914,68.58722,97.96711,98.133026,83.21195,92.0255,83.60798,80.51148
60.55664,66.97135,66.514885,80.39757,92.929344,55.01556,71.90847,47.21469,38.259583,53.05443,70.68377,68.385925,80.537346,52.758774,68.32776,64.04814,65.72817,72.05607,72.50185,41.942215,56.645985,78.63039,77.61817,80.26544,96.61466,53.40538,43.114826,56.827953,61.256626,60.813095,59.587055,83.63242,98.44203,58.10769,68.83257,61.455715,78.14214,58.33416,53.969597,48.23662,52.260826
