RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
0.023109016,1.9930094,5.8347225,2.909773,4.1561007,5.6959987,3.2821374,4.9767942,4.5843496,5.9082627,5.286886,3.8601832,4.4048753,2.6370125,5.7019057,6.927563,8.371791,3.0352728,6.0603395,6.583234,6.419185,5.1804547,4.5264864,5.395093,6.5723186,1.4037654,3.880432,5.3720636,4.408327,3.4711962,3.1725047,4.2619486,3.702478,5.9158964,6.2749953,3.5289567,4.3922467,2.8346272,1.471963,5.031774,6.4586368
0.9992044,3.2979484,7.51107,2.5551713,4.7768474,5.9441175,4.165211,6.562086,8.070456,6.259184,5.855083,3.9118037,4.846661,3.583521,5.8854227,7.4640346,8.630275,3.0729945,4.875103,6.374155,7.9015512,5.5481844,4.4682407,5.368779,7.541994,1.6028105,3.5965245,6.4032955,5.218064,3.5465295,3.0594306,5.994468,3.5297525,4.321208,6.8517623,4.056129,5.814201,4.4151764,2.9692473,2.997404,5.508806
1.138335,6.0834813,11.4521,4.3491015,5.1226597,7.2770786,5.4320626,7.7881465,10.056031,10.2978325,10.587038,4.8979807,4.404065,7.832164,6.6503725,9.725312,10.502047,3.5485368,5.131479,7.7237825,9.028914,7.679258,6.3598423,8.266675,7.8488674,4.1819353,4.4051824,6.9499273,5.581207,3.3682802,4.450319,5.7068534,5.207996,6.896318,7.3273573,6.5681615,7.1485863,6.288589,5.085209,3.9619627,5.415086
15.291959,17.011055,16.469694,15.520348,14.391369,18.454494,20.344038,21.357801,20.526546,14.463972,13.296405,19.642906,15.173222,20.17547,18.811396,14.950842,14.69911,16.018732,13.507075,17.588354,16.108559,21.663017,15.988749,15.657925,15.38391,13.286779,15.102746,28.966211,25.430582,17.756224,19.490065,17.371754,17.972843,23.252674,25.330887,19.293379,21.14285,13.589751,14.69121,8.494493,11.972004
29.3781,52.96243,52.100513,47.09112,50.494453,43.188282,42.34659,46.8502,43.114662,33.38666,29.186636,35.981457,34.976074,31.988552,38.91654,36.422535,40.003204,44.448654,49.04652,43.662197,44.659645,40.047432,40.14853,35.7389,32.38471,38.020966,27.100471,48.181282,39.383274,43.90085,49.702297,56.392708,48.04746,55.811302,53.850258,46.910492,44.402542,50.604107,53.610268,34.267536,35.97595
33.91803,58.114113,57.07133,49.57218,47.499447,55.60168,56.517235,50.218807,52.14339,63.01234,59.902462,55.534893,54.636356,35.14496,39.426846,63.090252,57.964558,54.04627,39.053284,48.359344,47.52567,57.35541,65.02871,56.040443,48.283463,47.134895,48.634937,55.576195,47.524227,53.24404,57.940125,54.345654,47.57658,77.10976,74.28781,62.155415,48.095917,64.02819,56.028625,47.40707,43.7935
63.04129,101.67403,107.26111,84.69889,83.38949,99.587296,96.872604,98.75699,101.47974,108.00405,80.5224,120.36173,116.86263,68.861206,70.44732,109.556625,94.743385,112.342514,107.063126,119.61646,100.783035,114.17417,109.93631,85.288414,73.29231,91.487915,96.28028,84.326035,56.160057,100.70842,95.64133,89.12829,69.12714,105.94435,98.71738,91.39831,87.00277,94.87377,75.76256,104.0219,91.050964
19.25244,25.891218,29.572184,24.728687,27.439413,25.961422,29.396664,32.492664,35.0939,24.04003,17.846647,31.308733,27.657408,35.328346,36.57977,26.245356,25.358206,36.065277,34.217598,29.93942,32.531788,27.85979,23.84293,25.106585,34.081245,23.346231,23.190748,34.525463,33.512947,37.425606,40.442806,29.995829,34.012848,33.17243,26.870111,32.30687,23.071188,22.495346,28.020489,25.746054,27.811394
2.8792738,7.5223427,10.426127,4.7574697,6.4884133,9.398874,7.5252514,9.42216,10.229429,11.475095,9.543647,9.054251,11.012818,11.679874,10.52589,11.600698,11.020234,4.257968,4.3936143,7.88614,9.503795,7.4222846,9.280447,8.55987,8.859499,6.613794,7.4924016,4.8319106,7.1126714,6.717045,7.148945,7.293074,7.154296,6.294765,7.686923,8.369399,11.001626,10.030708,10.390102,5.4945188,7.2792563
3.80499e-06,3.175804,7.8981214,2.3877227,3.7643485,6.141547,4.0771155,4.1049967,4.312895,6.860618,7.251361,2.4799275,3.1854637,4.7228136,5.839566,7.9094777,9.051745,3.543146,5.763202,6.516532,5.8043356,5.367763,3.4737525,5.889325,7.5314302,1.3744175,3.5637403,5.021711,5.647975,3.7721179,4.7495804,5.9577785,3.5472164,5.756697,6.1837626,4.375626,5.5103207,4.621606,2.0106218,5.9539704,8.37125
